Date,Time,RSNR(dB),Dst(ft),RxBt(V),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,LSW,TxBat(V)
2021-10-12,20:24:36.210,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,1024,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:37.710,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,2,1024,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:39.210,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:40.750,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:42.250,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:43.750,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:45.250,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:46.750,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:48.250,0,0,0.0,,0.0,0.00,0,0,13,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:49.750,0,0,0.0,,0.0,0.00,0,0,13,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:51.260,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:52.760,0,0,0.0,,0.0,0.00,0,0,11,-6,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:54.260,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:55.780,0,0,0.0,,0.0,0.00,0,0,8,-6,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:57.280,0,0,0.0,,0.0,0.00,0,0,9,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:58.780,0,0,0.0,,0.0,0.00,0,0,10,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:00.280,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:01.780,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:03.290,0,0,0.0,,0.0,0.00,0,0,14,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:04.790,0,0,0.0,,0.0,0.00,0,0,13,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:06.290,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:07.790,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:09.290,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:10.790,0,0,0.0,,0.0,0.00,0,0,9,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:13.440,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:16.640,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:18.140,0,0,0.0,,0.0,0.00,0,0,14,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:19.640,0,0,0.0,,0.0,0.00,0,0,13,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:21.140,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:22.640,0,0,0.0,,0.0,0.00,0,0,13,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:24.140,0,0,0.0,,0.0,0.00,0,0,13,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:25.640,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:27.140,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:28.650,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:30.150,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:31.650,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:33.150,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:34.650,0,0,0.0,,0.0,0.00,0,0,11,-6,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:36.160,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:39.030,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:40.510,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:25:44.420,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:26:42.460,0,0,0.0,,0.0,0.00,0,0,10,-6,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:26:43.960,0,0,0.0,,0.0,0.00,0,0,9,-6,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:26:49.670,0,0,0.0,,0.0,0.00,0,0,10,-6,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:29:19.230,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:29:20.730,0,0,0.0,,0.0,0.00,0,0,11,-6,-1024,0,0,0,-1,-1,-1,1,-1,-1,0x0000000000000000,4.0
2021-10-12,20:29:23.180,0,0,0.0,,0.0,0.00,0,0,9,-2,-1023,-1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:12.010,0,0,0.0,,0.0,0.00,0,0,11,-3,-1023,2,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:13.510,0,0,0.0,,0.0,0.00,0,0,13,-4,-1024,1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:17.080,0,0,0.0,,0.0,0.00,0,0,12,-4,-1023,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:18.570,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:20.230,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:21.720,0,0,0.0,,0.0,0.00,0,0,11,-2,-1024,1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:23.220,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,-1024,-1024,1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:24.730,0,0,0.0,,0.0,0.00,0,0,9,-2,-1024,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:26.230,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:27.730,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:29.230,0,0,0.0,,0.0,0.00,0,0,13,-5,-1024,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:30.730,0,0,0.0,,0.0,0.00,0,0,9,-6,-1018,5,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:32.230,0,0,0.0,,0.0,0.00,0,0,7,0,-1019,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:33.730,0,0,0.0,,0.0,0.00,0,0,7,0,-1017,-3,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:35.230,0,0,0.0,,0.0,0.00,0,0,8,0,-1018,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:36.730,0,0,0.0,,0.0,0.00,0,0,7,0,-1017,-3,-314,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:38.230,0,0,0.0,,0.0,0.00,0,0,9,0,-1019,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:39.730,0,0,0.0,,0.0,0.00,0,0,7,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:41.230,0,0,0.0,,0.0,0.00,0,0,8,-1,-1018,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
